config,cad_g,cad_r,cad_i,N_g,N_r,N_i
conf_faint1,1,1,2,1,1,1
conf_faint2,1,1,2,2,2,2
conf_faint3,1,1,2,4,4,4
conf_faint4,1,1,2,10,10,10
conf_faint5,1,1,2,20,20,20
conf_faint6,1,1,2,10,5,5
conf_faint7,1,1,2,5,10,5
conf_faint8,1,1,2,5,5,10
conf_faint9,1,1,2,2,2,4
conf_faint10,1,1,2,4,4,2
conf_faint11,1,1,1,1,1,1
conf_faint12,1,1,1,2,2,2
conf_faint13,1,1,1,4,4,4
conf_faint14,1,1,1,10,10,10
conf_faint15,1,1,1,20,20,20
conf_faint16,1,1,1,10,5,5
conf_faint17,1,1,1,5,10,5
conf_faint18,1,1,1,5,5,10
conf_faint19,1,1,1,2,2,4
conf_faint20,1,1,1,4,4,2
